A101,Air India,Chennai-Australia,Jet,210.92,2014
A102,Air India,Chennai-Singapore,Air Bus,119.55,2014
A203,Lufthansa,Mumbai-Newyork,Boeing,752.15,2014
A302,Emirates,Delhi-Dubai,Air Bus,922.10,2014
A303,Emirates,Chennai-Riyadh,Boeing,602.30,2014
A403,PanAm,Mumbai-Washington,Boeing,777.43,2014
A502,KLM,Chennai-Kulampur,Air Bus,401.12,2014
A201,Lufthansa,Delhi-Berlin,Jet,356.12,2014
A303,Emirates,Mumbai-Muscat,Boeing,123.32,2014
A401,PanAm,Delhi-Newyork,Jet,562.88,2014
A104,Air India,Chennai-Colombo,Jet,321.92,2014
A104,Air India,Chennai-Columbo,Jet,423.73,2014
A204,Lufthansa,Mumbai-Torrento,Boeing,772.15,2014
A204,Lufthansa,Mumbai-Torrento,Boeing,405.42,2014
A503,KLM,Delhi-Kulampur,Air Bus,547.12,2014
A503,KLM,Delhi-Kulampur,Air Bus,820.44,2014
