1,3,AA,N338AA,1,12478,JFK,12892,LAX,900,914,14,1225,1238,13,385,2475
2,4,AA,N338AA,1,12478,JFK,12892,LAX,900,857,0,1225,1226,1,385,2475
1,3,AA,N338AA,1,12478,JFK,12892,LAX,900,914,14,1225,1238,13,385,2475024
2,4,AA,N338AA,1,12478,JFK,12892,LAX,900,857,0,1225,1226,1,385,2475
4,6,AA,N327AA,1,12478,JFK,12892,LAX,900,1005,65,1225,1324,59,385,2475
5,7,AA,N323AA,1,12478,JFK,12892,LAX,900,1050,110,1225,1415,110,385,2475
6,1,AA,N319AA,1,12478,JFK,12892,LAX,900,917,17,1225,1217,0,385,2475
7,2,AA,N328AA,1,12478,JFK,12892,LAX,900,910,10,1225,1212,0,385,2475
8,3,AA,N323AA,1,12478,JFK,12892,LAX,900,923,23,1225,1215,0,385,2475
9,4,AA,N339AA,1,12478,JFK,12892,LAX,900,859,0,1225,1204,0,385,2475
10,5,AA,N319AA,1,12478,JFK,12892,LAX,900,929,29,1225,1245,20,385,2475
11,6,AA,N328AA,1,12478,JFK,12892,LAX,900,915,15,1225,1344,79,385,2475
12,7,AA,N338AA,1,12478,JFK,12892,LAX,900,854,0,1225,1208,0,385,2475
13,1,AA,N332AA,1,12478,JFK,12892,LAX,900,855,0,1225,1152,0,385,2475
14,2,AA,N339AA,1,12478,JFK,12892,LAX,900,853,0,1225,1144,0,385,2475
15,3,AA,N786AA,1,12478,JFK,12892,LAX,900,851,0,1225,1201,0,385,2475
16,4,AA,N783AA,1,12478,JFK,12892,LAX,900,856,0,1225,1216,0,385,2475
17,5,AA,N783AA,1,12478,JFK,12892,LAX,900,855,0,1225,1154,0,385,2475
18,6,AA,N783AA,1,12478,JFK,12892,LAX,900,854,0,1225,1156,0,385,2475
19,7,AA,N786AA,1,12478,JFK,12892,LAX,900,858,0,1225,1152,0,385,2475
20,1,AA,N783AA,1,12478,JFK,12892,LAX,900,855,0,1225,1209,0,385,2475
21,2,AA,N783AA,1,12478,JFK,12892,LAX,900,858,0,1225,1229,4,385,2475
23,4,AA,N787AA,1,12478,JFK,12892,LAX,900,1136,156,1225,1433,128,385,2475
24,5,AA,N785AA,1,12478,JFK,12892,LAX,900,856,0,1225,1158,0,385,2475
25,6,AA,N785AA,1,12478,JFK,12892,LAX,900,856,0,1225,1217,0,385,2475
26,7,AA,N784AA,1,12478,JFK,12892,LAX,900,852,0,1225,1226,1,385,2475
27,1,AA,N783AA,1,12478,JFK,12892,LAX,900,853,0,1225,1228,3,385,2475
28,2,AA,N783AA,1,12478,JFK,12892,LAX,900,903,3,1225,1237,12,385,2475
29,3,AA,N785AA,1,12478,JFK,12892,LAX,900,904,4,1225,1230,5,385,2475
30,4,AA,N783AA,1,12478,JFK,12892,LAX,900,907,7,1225,1247,22,385,2475
31,5,AA,N785AA,1,12478,JFK,12892,LAX,900,855,0,1225,1225,0,385,2475
1,3,AA,N339AA,2,12892,LAX,12478,JFK,930,1132,122,1800,1951,111,330,2475
2,4,AA,N319AA,2,12892,LAX,12478,JFK,930,932,2,1800,1822,22,330,2475
4,6,AA,N332AA,2,12892,LAX,12478,JFK,930,924,0,1800,1733,0,330,2475
5,7,AA,N339AA,2,12892,LAX,12478,JFK,930,938,8,1800,1816,16,330,2475
6,1,AA,N338AA,2,12892,LAX,12478,JFK,930,934,4,1800,1751,0,330,2475
7,2,AA,N339AA,2,12892,LAX,12478,JFK,930,925,0,1800,1730,0,330,2475
8,3,AA,N332AA,2,12892,LAX,12478,JFK,930,926,0,1800,1809,9,330,2475
9,4,AA,N328AA,2,12892,LAX,12478,JFK,930,925,0,1800,1737,0,330,2475
10,5,AA,N336AA,2,12892,LAX,12478,JFK,930,928,0,1800,1753,0,330,2475
11,6,AA,N338AA,2,12892,LAX,12478,JFK,930,930,0,1800,1802,2,330,2475
12,7,AA,N339AA,2,12892,LAX,12478,JFK,930,1048,78,1800,1906,66,330,2475
13,1,AA,N328AA,2,12892,LAX,12478,JFK,930,929,0,1800,1747,0,330,2475
14,2,AA,N336AA,2,12892,LAX,12478,JFK,930,926,0,1800,1812,12,330,2475
15,3,AA,N319AA,2,12892,LAX,12478,JFK,930,922,0,1800,1756,0,330,2475
16,4,AA,N338AA,2,12892,LAX,12478,JFK,930,942,12,1800,1802,2,330,2475
17,5,AA,N332AA,2,12892,LAX,12478,JFK,930,928,0,1800,1754,0,330,2475
18,6,AA,N339AA,2,12892,LAX,12478,JFK,930,926,0,1800,1807,7,330,2475
19,7,AA,N332AA,2,12892,LAX,12478,JFK,930,932,2,1800,1745,0,330,2475
20,1,AA,N339AA,2,12892,LAX,12478,JFK,930,952,22,1800,1758,0,330,2475
22,3,AA,N319AA,2,12892,LAX,12478,JFK,930,930,0,1800,1739,0,330,2475
23,4,AA,N328AA,2,12892,LAX,12478,JFK,930,924,0,1800,1729,0,330,2475
24,5,AA,N5FCAA,2,12892,LAX,12478,JFK,930,923,0,1800,1804,4,330,2475
25,6,AA,N335AA,2,12892,LAX,12478,JFK,930,921,0,1800,1809,9,330,2475
26,7,AA,N328AA,2,12892,LAX,12478,JFK,930,921,0,1800,1732,0,330,2475
27,1,AA,N352AA,2,12892,LAX,12478,JFK,930,1035,65,1800,1829,29,330,2475
28,2,AA,N332AA,2,12892,LAX,12478,JFK,930,924,0,1800,1728,0,330,2475
