11000,45,1,1-2 Miles,Bachelors,M,1,M,0,0,Professional,Pacific,2,90000
11001,45,1,0-1 Miles,Bachelors,M,0,S,1,3,Professional,Pacific,3,60000
11002,45,1,2-5 Miles,Bachelors,M,1,M,1,3,Professional,Pacific,3,60000
11003,43,1,5-10 Miles,Bachelors,F,0,S,1,0,Professional,Pacific,0,70000
11004,42,1,1-2 Miles,Bachelors,F,1,S,4,5,Professional,Pacific,5,80000
11005,45,1,5-10 Miles,Bachelors,M,1,S,1,0,Professional,Pacific,0,70000
11006,45,1,5-10 Miles,Bachelors,F,1,S,1,0,Professional,Pacific,0,70000
11007,46,1,0-1 Miles,Bachelors,M,1,M,2,3,Professional,Pacific,3,60000
11008,46,1,10+ Miles,Bachelors,F,1,S,3,4,Professional,Pacific,4,60000
11009,47,1,5-10 Miles,Bachelors,M,0,S,1,0,Professional,Pacific,0,70000
11010,47,1,5-10 Miles,Bachelors,F,0,S,1,0,Professional,Pacific,0,70000
11011,47,1,10+ Miles,Bachelors,M,1,M,4,4,Professional,Pacific,4,60000
11012,43,0,1-2 Miles,Bachelors,F,1,M,2,0,Management,North America,2,100000
11013,42,0,0-1 Miles,Bachelors,M,1,M,3,0,Management,North America,2,100000
11014,42,0,1-2 Miles,Bachelors,F,0,S,3,0,Management,North America,3,100000
11015,32,1,5-10 Miles,Partial College,F,0,S,1,0,Skilled Manual,North America,0,30000
11016,31,1,5-10 Miles,Partial College,M,1,M,1,0,Skilled Manual,North America,0,30000
11017,66,1,5-10 Miles,High School,F,1,S,2,0,Skilled Manual,Pacific,4,20000
11018,66,1,5-10 Miles,Partial College,M,1,S,2,0,Clerical,Pacific,2,30000
11019,33,0,5-10 Miles,High School,M,0,S,2,0,Skilled Manual,North America,0,40000
11020,32,1,1-2 Miles,High School,M,0,S,2,0,Skilled Manual,North America,0,40000
11021,32,1,1-2 Miles,Partial College,F,0,S,1,0,Skilled Manual,North America,0,40000
11022,32,1,5-10 Miles,Partial College,M,1,M,1,0,Skilled Manual,North America,0,40000
11023,32,0,1-2 Miles,Partial College,M,1,M,1,0,Skilled Manual,North America,0,40000
11024,32,0,5-10 Miles,Partial College,M,1,M,2,0,Skilled Manual,North America,0,60000
11025,65,1,1-2 Miles,Partial High School,M,1,M,2,1,Clerical,Pacific,2,10000
11026,65,1,1-2 Miles,Partial College,M,0,S,2,0,Clerical,Pacific,2,30000
11027,64,1,5-10 Miles,Partial College,M,1,M,2,0,Clerical,Pacific,2,30000
11028,65,1,1-2 Miles,Partial College,F,1,M,2,0,Clerical,Pacific,2,30000
11029,64,1,1-2 Miles,Partial College,M,1,M,2,0,Clerical,Pacific,2,30000
11030,64,1,1-2 Miles,Partial High School,F,1,M,2,1,Clerical,Pacific,2,10000
11031,63,1,1-2 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,4,20000
11032,63,1,1-2 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,4,20000
11033,63,1,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,Pacific,4,20000
11034,63,1,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,4,20000
11035,63,1,1-2 Miles,Partial High School,F,1,M,2,1,Clerical,Pacific,2,10000
11036,32,1,1-2 Miles,Partial College,F,1,M,2,0,Skilled Manual,North America,0,60000
11037,33,1,5-10 Miles,Partial High School,F,0,S,2,0,Clerical,North America,0,40000
11038,63,1,5-10 Miles,Partial High School,F,1,M,2,1,Clerical,Pacific,2,10000
11039,62,1,5-10 Miles,Partial College,M,1,M,2,0,Clerical,Pacific,3,30000
11040,33,1,1-2 Miles,Partial College,M,1,M,2,0,Skilled Manual,North America,0,30000
11041,33,1,1-2 Miles,Partial College,F,1,M,2,0,Skilled Manual,North America,0,60000
11042,33,1,0-1 Miles,Partial College,F,1,M,2,0,Skilled Manual,North America,0,70000
11043,35,0,5-10 Miles,Partial College,M,1,M,2,0,Skilled Manual,North America,0,60000
11044,61,1,1-2 Miles,Partial High School,M,1,M,2,1,Clerical,Pacific,2,20000
11045,60,0,1-2 Miles,High School,M,0,S,2,0,Skilled Manual,Pacific,3,30000
11046,61,1,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,3,30000
11047,61,1,1-2 Miles,High School,F,0,M,2,0,Skilled Manual,Pacific,3,30000
